Orange County Official Results,,,,,,,,,,,,
US SENATOR (Vote for One),,,,,,,,,,Amended - 12/11/18,,
General Election - 11/6/18,,,,,,,,,,,,
DISTRICT,TO,,,,,,,,,,,
,,,,DEM,REP,CON,WOR,IND,WEP,REF,,
Chester 2,332,530,62.64%,159,117,14,5,7,6,2,0,22
Chester 3,549,869,63.18%,220,250,30,7,8,2,10,0,22
Chester 4,574,881,65.15%,259,235,35,4,7,4,5,0,25
Chester 5,489,686,71.28%,169,200,54,9,10,3,10,0,34
Chester 6,329,498,66.06%,162,113,30,4,4,0,1,0,15
Chester 7,543,874,62.13%,247,229,24,14,6,1,7,0,15
Chester 8,395,695,56.83%,234,111,12,6,4,4,3,0,21
Chester 9,204,349,58.45%,130,58,3,2,1,1,1,0,8
Chester 10,358,597,59.97%,167,133,23,10,8,4,3,0,10
Chester 11,309,474,65.19%,124,133,16,4,6,0,8,0,18
Chester 12,483,736,65.63%,207,201,34,6,8,1,3,0,23
Cornwall 1,478,676,70.71%,259,147,28,14,8,3,4,0,15
Cornwall 2,342,557,61.40%,170,129,18,8,5,1,2,0,9
Cornwall 3,432,673,64.19%,216,153,23,12,6,4,1,3,14
Cornwall 4,522,789,66.16%,239,188,38,16,14,8,2,0,17
Cornwall 5,339,592,57.26%,140,156,12,7,4,4,2,0,14
Page 2/9,,,General Election Results - Certified - 12/3/18,,,,,,,,,

Orange County Official Results,,,,,,,,,,,,
US SENATOR (Vote for One),,,,,,,,,,Amended - 12/11/18,,
General Election - 11/6/18,,,,,,,,,,,,
DISTRICT,TO,,,,,,,,,,,
,,,,DEM,REP,CON,WOR,IND,WEP,REF,,
Cornwall 6,429,664,64.61%,199,161,30,6,11,8,1,1,12
Cornwall 7,272,461,59.00%,106,123,14,7,3,2,1,0,16
Cornwall 8,583,842,69.24%,283,199,44,11,6,7,4,1,28
Cornwall 9,374,578,64.71%,193,122,19,12,7,6,2,0,13
Cornwall 10,339,566,59.89%,139,152,26,6,4,1,0,0,11
Cornwall 11,552,861,64.11%,254,219,26,9,13,6,2,0,23
Cornwall 12,428,633,67.61%,226,155,18,3,3,0,2,0,21
Cornwall 13,294,488,60.25%,142,104,9,10,7,5,2,0,15
Cornwall 14,428,660,64.85%,183,180,23,9,12,4,1,0,16
Crawford 1,409,681,60.06%,155,204,23,5,8,1,1,0,12
Crawford 2,365,617,59.16%,125,204,17,3,5,0,1,0,10
Crawford 3,568,933,60.88%,197,288,50,6,9,1,3,0,14
Crawford 4,438,752,58.24%,146,230,32,12,2,3,0,0,13
Crawford 5,437,688,63.52%,146,218,46,6,6,1,5,0,9
Crawford 6,553,908,60.90%,184,271,40,8,12,3,4,0,31
Crawford 7,419,669,62.63%,162,188,33,4,11,2,1,0,18
Crawford 8,354,545,64.95%,151,163,15,3,3,2,2,0,15
Deerpark 1,309,592,52.20%,96,156,30,0,8,4,2,1,12
Deerpark 2,345,647,53.32%,108,185,20,7,6,2,2,0,15
Deerpark 3,375,740,50.68%,140,191,12,7,5,1,0,0,19
Deerpark 4,411,757,54.29%,138,201,37,4,8,1,2,0,20
Deerpark 5,406,746,54.42%,106,241,30,5,6,1,1,0,16
Deerpark 6,238,561,42.42%,84,110,20,7,8,0,1,0,8
Deerpark 7,389,684,56.87%,95,239,19,8,6,1,3,0,18
Goshen 1,424,681,62.26%,228,135,20,7,9,4,2,0,19
Goshen 2,217,380,57.11%,126,57,14,3,4,0,1,0,12
Goshen 3,445,683,65.15%,216,154,27,5,6,5,3,0,29
Goshen 4,632,1052,60.08%,296,240,38,13,10,9,1,1,24
Goshen 5,543,896,60.60%,255,217,31,4,4,10,3,0,19
Goshen 6,351,551,63.70%,153,149,21,1,3,2,3,0,19
Goshen 7,550,963,57.11%,228,251,33,8,2,7,2,0,19
Goshen 8,380,730,52.05%,157,173,23,6,4,6,3,0,8
Goshen 9,595,928,64.12%,264,233,53,11,9,6,2,0,17
Goshen 10,486,765,63.53%,209,203,34,9,4,6,4,0,17
Goshen 11,411,698,58.88%,232,125,25,6,6,0,1,0,16
Goshen 12,302,524,57.63%,126,142,17,6,4,1,0,0,6
Goshen 13,45,70,64.29%,22,14,3,1,2,0,0,1,2
Greenville 1,444,726,61.16%,118,260,30,6,4,1,4,0,21
Greenville 2,541,973,55.60%,196,266,30,13,6,5,0,2,23
Greenville 3,346,625,55.36%,109,174,27,10,4,3,1,0,18
Greenville 4,429,702,61.11%,157,211,39,1,6,0,2,0,13
Hamptonburgh 1,445,785,56.69%,199,190,27,6,4,1,3,0,15
Hamptonburgh 2,554,889,62.32%,194,291,27,7,10,3,5,0,17
Hamptonburgh 3,443,718,61.70%,175,198,30,8,8,3,2,0,19
Hamptonburgh 4,391,622,62.86%,169,164,15,13,8,2,2,0,18
Page 3/9,,,General Election Results - Certified - 12/3/18,,,,,,,,,

Orange County Official Results,,,,,,,,,,,,
US SENATOR (Vote for One),,,,,,,,,,Amended - 12/11/18,,
General Election - 11/6/18,,,,,,,,,,,,
DISTRICT,TO,,,,,,,,,,,
,,,,DEM,REP,CON,WOR,IND,WEP,REF,,
Hamptonburgh 5,458,752,60.90%,153,231,36,8,6,3,5,0,16
Highlands 1,422,727,58.05%,224,140,15,3,4,4,2,0,30
Highlands 2,275,548,50.18%,181,50,8,10,6,3,3,0,14
Highlands 3,353,743,47.51%,198,110,11,9,11,3,0,0,11
Highlands 4,398,648,61.42%,174,172,19,4,6,2,1,0,20
Highlands 5,271,485,55.88%,132,112,6,8,3,1,0,0,9
Highlands 6,311,488,63.73%,153,113,18,12,7,3,1,0,4
Minisink 1,468,786,59.54%,133,272,35,5,8,1,2,0,12
Minisink 2,490,840,58.33%,164,245,35,12,7,3,2,0,22
Minisink 3,328,535,61.31%,107,176,28,6,4,2,0,0,5
Minisink 4,396,705,56.17%,148,192,24,3,6,2,2,0,19
Monroe 1,532,892,59.64%,255,201,30,7,8,5,0,1,25
Monroe 2,459,688,66.72%,203,185,23,5,4,5,5,0,29
Monroe 3,363,572,63.46%,171,141,21,2,6,6,2,1,13
Monroe 4,491,898,54.68%,230,190,16,15,6,1,6,0,27
Monroe 5,440,762,57.74%,222,171,11,7,4,2,1,0,22
Monroe 6,384,593,64.76%,177,152,23,2,8,1,3,0,18
Monroe 7,539,902,59.76%,230,226,32,9,10,7,3,0,22
Monroe 8,289,551,52.45%,151,95,11,8,7,3,1,1,12
Monroe 9,259,510,50.78%,140,80,9,4,5,1,1,0,19
Monroe 10,483,881,54.82%,206,192,34,10,9,4,5,0,23
Monroe 11,359,561,63.99%,134,169,18,2,2,2,3,0,29
Monroe 12,435,694,62.68%,184,184,27,6,6,5,2,0,21
Monroe 13,372,639,58.22%,181,136,21,11,7,5,0,0,11
Monroe 14,368,587,62.69%,141,166,25,7,6,1,2,1,19
Monroe 15,604,997,60.58%,300,212,33,9,4,12,5,0,29
Monroe 16,331,484,68.39%,141,139,15,9,4,3,2,0,18
Monroe 17,415,659,62.97%,174,170,31,7,3,5,2,0,23
Monroe 18,78,260,30.00%,22,26,2,1,16,0,0,0,11
Monroe 19,223,396,56.31%,136,63,4,4,0,5,0,0,11
Monroe 20,0,1,0.00%,0,0,0,0,0,0,0,0,0
Monroe 21,0,0,,0,0,0,0,0,0,0,0,0
Montgomery 1,467,780,59.87%,173,219,39,8,6,1,6,0,15
Montgomery 2,606,984,61.59%,310,213,28,12,10,3,5,1,24
Montgomery 3,582,1024,56.84%,305,200,21,9,9,2,2,0,34
Montgomery 4,423,738,57.32%,140,221,28,10,5,2,2,0,15
Montgomery 5,478,857,55.78%,207,193,24,11,9,8,4,0,22
Montgomery 6,370,682,54.25%,177,144,9,11,8,5,2,0,14
Montgomery 7,441,791,55.75%,196,187,27,5,9,1,2,0,14
Montgomery 8,381,703,54.20%,218,113,20,5,4,2,1,0,18
Montgomery 9,375,651,57.60%,137,176,27,7,5,0,3,0,20
Montgomery 10,396,658,60.18%,127,199,38,1,12,1,3,0,15
Montgomery 11,394,663,59.43%,140,198,27,8,7,3,3,0,8
Montgomery 12,403,805,50.06%,221,123,22,6,6,3,3,1,18
Montgomery 13,528,823,64.16%,195,258,41,11,4,6,2,0,11
Page 4/9,,,General Election Results - Certified - 12/3/18,,,,,,,,,

Orange County Official Results,,,,,,,,,,,,
US SENATOR (Vote for One),,,,,,,,,,Amended - 12/11/18,,
General Election - 11/6/18,,,,,,,,,,,,
DISTRICT,TO,,,,,,,,,,,
,,,,DEM,REP,CON,WOR,IND,WEP,REF,,
Montgomery 14,316,567,55.73%,114,145,29,5,6,0,0,0,17
Montgomery 15,475,815,58.28%,225,170,26,12,11,5,0,0,26
Montgomery 16,502,818,61.37%,218,210,32,13,8,2,0,0,19
Montgomery 17,447,792,56.44%,201,188,20,8,3,2,1,0,24
Montgomery 18,605,954,63.42%,231,296,34,5,10,6,2,0,21
Mount Hope 1,362,665,54.44%,141,158,22,8,5,7,0,0,21
Mount Hope 2,533,919,58.00%,190,242,45,15,10,0,6,0,25
Mount Hope 3,560,941,59.51%,203,243,46,14,17,5,6,0,26
Mount Hope 4,547,923,59.26%,196,261,36,13,7,5,3,0,26
New Windsor 1,279,457,61.05%,155,90,15,3,4,3,0,0,9
New Windsor 2,303,573,52.88%,166,86,19,6,5,5,1,0,15
