precinct,DEM,REP,CON,WOR,IND,WEP,REF,WRITE IN,BLANK
Deerpark 4,131,216,40,2,4,0,3,0,15
Deerpark 5,96,252,33,4,6,1,1,0,13
Deerpark 6,87,113,20,3,8,1,0,0,6
Deerpark 7,90,251,17,7,9,1,2,0,12
Goshen 1,195,174,23,6,6,4,2,0,14
Goshen 2,124,62,16,1,4,0,2,0,8
Goshen 3,207,181,29,5,8,3,3,0,9
Goshen 4,278,276,35,11,4,6,5,0,17
Goshen 5,227,256,30,2,4,5,6,0,13
Goshen 6,138,173,23,0,2,2,6,0,7
Goshen 7,217,271,31,4,7,3,6,0,11
Goshen 8,136,191,28,5,5,4,2,0,9
Goshen 9,250,255,55,12,7,4,4,0,8
Goshen 10,198,224,39,6,5,3,4,0,7
Goshen 11,219,140,26,3,5,1,0,0,17
Goshen 12,124,148,19,2,2,0,1,0,6
Goshen 13,23,14,3,1,1,0,0,1,2
Greenville 1,122,262,37,2,7,0,3,0,11
Greenville 2,187,277,31,12,6,7,0,0,21
Greenville 3,103,198,24,3,2,3,3,0,10
Greenville 4,155,220,39,1,3,0,1,0,10
Hamptonburgh 1,186,213,26,1,2,3,1,0,13
Hamptonburgh 2,197,302,29,6,5,2,5,0,8
Hamptonburgh 3,173,206,36,5,5,1,5,0,12
Hamptonburgh 4,167,178,16,10,5,3,2,0,10
Hamptonburgh 5,150,239,34,8,8,1,7,0,11
Highlands 1,214,154,14,2,6,2,3,0,27
Highlands 2,174,52,11,8,8,5,2,1,14
Highlands 3,188,118,11,8,11,5,1,0,11
Highlands 4,170,172,25,6,7,1,1,0,16
Highlands 5,123,114,9,8,5,1,0,0,11
Highlands 6,146,124,19,7,4,2,1,1,7
Minisink 1,133,282,36,2,7,0,2,0,6
Minisink 2,152,257,38,11,8,3,6,0,15
Minisink 3,107,178,26,6,1,1,0,0,9
Minisink 4,157,188,20,6,9,1,0,0,15
Monroe 1,245,221,28,7,6,4,3,0,18
Monroe 2,198,201,25,3,4,3,3,0,22
Monroe 3,167,141,21,1,5,6,2,0,20
Monroe 4,219,193,19,10,12,1,7,0,30
Monroe 5,212,185,11,4,2,2,3,0,21
Monroe 6,161,162,21,3,9,1,6,0,21
Monroe 7,223,240,32,7,9,5,1,1,21
Monroe 8,141,107,10,6,5,2,2,1,15
Monroe 9,141,81,11,4,3,1,1,0,17
Monroe 10,198,207,35,7,4,5,5,0,22
Monroe 11,131,186,18,1,1,1,1,0,20
Monroe 12,173,197,32,7,5,5,3,0,13
Monroe 13,183,142,24,10,2,5,2,0,4
Monroe 14,138,170,26,6,7,4,3,0,14
Monroe 15,296,216,37,5,9,6,6,0,29
Monroe 16,139,148,17,2,5,1,2,0,17
Monroe 17,172,170,32,7,6,2,4,1,21
Monroe 18,18,29,3,1,17,0,1,0,9
Monroe 19,132,72,4,2,0,1,0,0,12
Monroe 20,0,0,0,0,0,0,0,0,0
Monroe 21,0,0,0,0,0,0,0,0,0
Montgomery 1,165,229,43,6,4,3,4,0,13
Montgomery 2,307,228,28,10,8,2,3,0,20
Montgomery 3,304,211,23,5,7,4,0,0,28
