Orange County Official Results,,,,,,,,,,,,
MEMBER OF CONGRESS - 18th CD,(Vote for One),,,,,,,,,,,
General Election - 11/6/18,,,,,,,,,,,,
T,,,,,,,,,,,,
C,,,,,,,,,,,,
,,,,DEM,REP,CON WOR,,IND,WEP,REF,,
GRAND TOTAL,,,57.12% 57413,,47444,6728,1691,5549,707,774,39,5579
,125924,220454,,,,,,,,,,
Page 8/9,,,,,General Election Results - Certified - 12/3/18,,,,,,,

Orange CountyCertified Write In's,,,
General Election - 11/6/18,,,
Representative in Congress 18th CD,,,
Town,Dist,Write In,Vote(s)
MID,3-2,Zephyr Teachout,1
MID,3-2,Deidre Sanchez,1
MID,3-2,Matt Decker,1
MID,3-4,VOID,1
MID,4-1,Naomi Levin,1
MID,4-6,VOID,2
NBG,1-4,VOID,1
PJ,2-2,VOID,1
BG,1-4,VOID,1
BG,5-3,VOID,1
CW,3,VOID,1
CR,1,Michael Dolan,1
GSN,13,Aaron Slotnick,1
HI,2,Kemar Jarrett,1
HI,6,Deborah Kopald,1
MRO,7,Carl Scheuering,1
MRO,8,VOID,1
MRO,17,Charlie Musselwiate,1
MGY,10,Drew Rhodes,1
MGY,12,David Graziano,1
MH,4,Kenneth Pinkela,2
MH,4,Jerry Cook,1
NW,10,VOID,1
NW,12,Antonio Delgado,1
NW,18,Antonio Delgado,1
NWT,9,Anthony DelGado,1
NWT,12,VOID,1
NWT,21,Stacy Adams,1
NWT,23,Torrance Harvey,1
PT,14,Jacob Ferencz,1
PT,15,VOID,1
WKL,2-1,VOID,1
WKL,4-5,Nicholas Sylvester,1
WAR,3,James P. Mahoney,1
WAR,4,Carl Lloyd,1
WAR,7,Cynthia Nixon,1
WAR,18,Hammer Zikopas,1
,,TOTAL VOTES,39
