Orange County Official Results,,,,,,,,,,,,
MEMBER OF CONGRESS - 18th CD,(Vote for One),,,,,,,,,,,
General Election - 11/6/18,,,,,,,,,,,,
T,,,,,,,,,,,,
C,,,,,,,,,,,,
,,,,DEM,REP,CON WOR,,IND,WEP,REF,,
Chester 1,543,941,57.70%,256,195,32,12,11,3,8,0,26
Chester 2,332,530,62.64%,160,126,12,3,7,3,2,0,19
Chester 3,550,869,63.29%,225,250,29,3,13,1,9,0,20
Chester 4,574,881,65.15%,249,244,41,7,4,2,6,0,21
Chester 5,489,686,71.28%,165,216,55,4,8,1,12,0,28
Chester 6,330,498,66.27%,159,121,29,2,3,1,2,0,13
Chester 7,544,874,62.24%,244,231,22,9,6,2,9,0,21
Chester 8,395,695,56.83%,226,116,16,5,2,3,3,0,24
Chester 9,204,349,58.45%,120,70,3,1,1,2,1,0,6
Chester 10,358,597,59.97%,165,138,27,9,3,3,2,0,11
Chester 11,310,474,65.40%,129,140,13,2,4,1,6,0,15
Page 2/9,,,,,,,,General Election Results - Certified - 12/3/18,,,,

Orange County Official Results,,,,,,,,,,,,
MEMBER OF CONGRESS - 18th CD,(Vote for One),,,,,,,,,,,
General Election - 11/6/18,,,,,,,,,,,,
T,,,,,,,,,,,,
C,,,,,,,,,,,,
,,,,DEM,REP,CON WOR,,IND,WEP,REF,,
Chester 12,483,736,65.63%,198,218,36,6,6,1,2,0,16
Cornwall 1,478,676,70.71%,259,146,24,13,8,3,4,0,21
Cornwall 2,342,557,61.40%,172,132,16,4,6,2,2,0,8
Cornwall 3,432,673,64.19%,217,155,27,7,7,4,2,1,12
Cornwall 4,522,789,66.16%,248,188,39,16,13,5,1,0,12
Cornwall 5,339,592,57.26%,135,167,13,4,5,3,2,0,10
Cornwall 6,429,664,64.61%,207,160,33,5,8,3,1,0,12
Cornwall 7,272,461,59.00%,108,127,16,6,3,1,1,0,10
Cornwall 8,583,842,69.24%,291,206,41,9,5,3,5,0,23
Cornwall 9,374,578,64.71%,191,130,19,13,6,5,1,0,9
Cornwall 10,339,566,59.89%,138,161,20,3,5,1,1,0,10
Cornwall 11,552,861,64.11%,241,234,27,7,11,4,3,0,25
Cornwall 12,428,633,67.61%,221,161,19,5,3,2,0,0,17
Cornwall 13,294,488,60.25%,145,98,13,6,8,4,4,0,16
Cornwall 14,428,660,64.85%,179,184,27,8,12,1,0,0,17
Crawford 1,409,681,60.06%,150,209,23,2,8,2,1,1,13
Crawford 2,365,617,59.16%,122,206,20,0,2,0,2,0,13
Crawford 3,568,933,60.88%,194,297,48,9,7,1,3,0,9
Crawford 4,438,752,58.24%,138,238,30,8,3,3,1,0,17
Crawford 5,437,688,63.52%,147,213,50,3,8,1,4,0,11
Crawford 6,553,908,60.90%,181,279,48,6,11,3,2,0,23
Crawford 7,419,669,62.63%,166,195,37,1,5,3,0,0,12
Crawford 8,354,545,64.95%,137,172,15,3,4,2,1,0,20
Deerpark 1,309,592,52.20%,95,162,30,1,7,4,1,0,9
Deerpark 2,343,647,53.01%,105,192,23,5,7,2,1,0,8
Deerpark 3,375,740,50.68%,134,198,12,2,2,2,4,0,21
Deerpark 4,411,757,54.29%,131,216,40,2,4,0,3,0,15
Deerpark 5,406,746,54.42%,96,252,33,4,6,1,1,0,13
Deerpark 6,238,561,42.42%,87,113,20,3,8,1,0,0,6
Deerpark 7,389,684,56.87%,90,251,17,7,9,1,2,0,12
Goshen 1,424,681,62.26%,195,174,23,6,6,4,2,0,14
Goshen 2,217,380,57.11%,124,62,16,1,4,0,2,0,8
Goshen 3,445,683,65.15%,207,181,29,5,8,3,3,0,9
Goshen 4,632,1052,60.08%,278,276,35,11,4,6,5,0,17
Goshen 5,543,896,60.60%,227,256,30,2,4,5,6,0,13
Goshen 6,351,551,63.70%,138,173,23,0,2,2,6,0,7
Goshen 7,550,963,57.11%,217,271,31,4,7,3,6,0,11
Goshen 8,380,730,52.05%,136,191,28,5,5,4,2,0,9
Goshen 9,595,928,64.12%,250,255,55,12,7,4,4,0,8
Goshen 10,486,765,63.53%,198,224,39,6,5,3,4,0,7
Goshen 11,411,698,58.88%,219,140,26,3,5,1,0,0,17
Goshen 12,302,524,57.63%,124,148,19,2,2,0,1,0,6
Page 3/9,,,,,,,,General Election Results - Certified - 12/3/18,,,,

Orange County Official Results,,,,,,,,,,,,
MEMBER OF CONGRESS - 18th CD,(Vote for One),,,,,,,,,,,
General Election - 11/6/18,,,,,,,,,,,,
T,,,,,,,,,,,,
C,,,,,,,,,,,,
,,,,DEM,REP,CON WOR,,IND,WEP,REF,,
Goshen 13,45,70,64.29%,23,14,3,1,1,0,0,1,2
Greenville 1,444,726,61.16%,122,262,37,2,7,0,3,0,11
Greenville 2,541,973,55.60%,187,277,31,12,6,7,0,0,21
Greenville 3,346,625,55.36%,103,198,24,3,2,3,3,0,10
Greenville 4,429,702,61.11%,155,220,39,1,3,0,1,0,10
Hamptonburgh 1,445,785,56.69%,186,213,26,1,2,3,1,0,13
Hamptonburgh 2,554,889,62.32%,197,302,29,6,5,2,5,0,8
Hamptonburgh 3,443,718,61.70%,173,206,36,5,5,1,5,0,12
Hamptonburgh 4,391,622,62.86%,167,178,16,10,5,3,2,0,10
Hamptonburgh 5,458,752,60.90%,150,239,34,8,8,1,7,0,11
Highlands 1,422,727,58.05%,214,154,14,2,6,2,3,0,27
Highlands 2,275,548,50.18%,174,52,11,8,8,5,2,1,14
Highlands 3,353,743,47.51%,188,118,11,8,11,5,1,0,11
Highlands 4,398,648,61.42%,170,172,25,6,7,1,1,0,16
Highlands 5,271,485,55.88%,123,114,9,8,5,1,0,0,11
Highlands 6,311,488,63.73%,146,124,19,7,4,2,1,1,7
Minisink 1,468,786,59.54%,133,282,36,2,7,0,2,0,6
Minisink 2,490,840,58.33%,152,257,38,11,8,3,6,0,15
Minisink 3,328,535,61.31%,107,178,26,6,1,1,0,0,9
Minisink 4,396,705,56.17%,157,188,20,6,9,1,0,0,15
Monroe 1,532,892,59.64%,245,221,28,7,6,4,3,0,18
Monroe 2,459,688,66.72%,198,201,25,3,4,3,3,0,22
Monroe 3,363,572,63.46%,167,141,21,1,5,6,2,0,20
Monroe 4,491,898,54.68%,219,193,19,10,12,1,7,0,30
Monroe 5,440,762,57.74%,212,185,11,4,2,2,3,0,21
Monroe 6,384,593,64.76%,161,162,21,3,9,1,6,0,21
Monroe 7,539,902,59.76%,223,240,32,7,9,5,1,1,21
Monroe 8,289,551,52.45%,141,107,10,6,5,2,2,1,15
